Name,전국 주택가격 동향조사-전체-매매가격지수-전국-2017.11=100-월,"종사상지위별 취업자 (월,분기,년 1963~2021.01)-월-취업자-계-천명",JPMorgan Global Manufacturing PMI SA,전국 주택가격 동향조사-전체-전세가격지수-전국-2017.11=100-월,Markit Emerging Markets Manufacturing PMI SA,"지출목적별 소비자물가지수(품목 포함, 2015＝100) (월,분기,년 1965.01~2021.02)-월-소비자물가지수-전국-0 총지수-2015＝100",Markit Emerging Markets Composite PMI SA,"농산물 및 석유류제외지수(2015＝100) (월,분기,년 1975.01~2021.02)-월-소비자물가지수-농산물및석유류제외지수-2015＝100","식료품 및 에너지제외지수(2015＝100) (월,분기,년 1990.01~2021.02)-월-소비자물가지수-식료품 및 에너지제외 지수-2015＝100",생산자물가지수(기본분류)(2015=100)-월-총지수,주가지수(KOSPI)-코스피-종가-원-월,주가지수(KOSDAQ)-코스닥-종가-원-월,수입물가지수(기본분류)(2015=100)-월-총지수-달러기준,수입물가지수(기본분류)(2015=100)-월-총지수-원화기준,주택매매가격지수(KB)-월-총지수,주택전세가격지수(KB)-월-총지수,"PCPS-Units-Monthly-All Countries, excluding the IO-Primary Commodity Prices, Dubai Crude -Index-Monthly","PCPS-Units-Monthly-All Countries, excluding the IO-Primary Commodity Prices, Dubai Crude -US Dollars-Monthly","PCPS-Units-Monthly-All Countries, excluding the IO-Primary Commodity Prices, All Metals EX GOLD Index-Index-Monthly","PCPS-Units-Monthly-All Countries, excluding the IO-Primary Commodity Prices, Agriculture-Index-Monthly","PCPS-Units-Monthly-All Countries, excluding the IO-Primary Commodity Prices, Gold -Index-Monthly","PCPS-Units-Monthly-All Countries, excluding the IO-Primary Commodity Prices, Gold -US Dollars-Monthly",수출물량지수-월-총지수,수입물량지수-월-총지수,국별수출(관세청)-월-국별수출(관세청),국별수입(관세청)-월-국별수입(관세청),경상수지(경상수지 S.A.)-월-경상수지,Composite Leading Indicators (MEI)-Amplitude adjusted (CLI)-China (People's Republic of)-Monthly,Composite Leading Indicators (MEI)-Amplitude adjusted (CLI)-Korea-Monthly,Composite Leading Indicators (MEI)-Amplitude adjusted (CLI)-OECD - Total-Monthly,Composite Leading Indicators (MEI)-Amplitude adjusted (CLI)-United States-Monthly,"Composite Leading Indicators (MEI)-OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa-China (People's Republic of)-Monthly","Composite Leading Indicators (MEI)-OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa-Korea-Monthly","Composite Leading Indicators (MEI)-OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa-OECD - Total-Monthly","Composite Leading Indicators (MEI)-OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa-United States-Monthly","Composite Leading Indicators (MEI)-OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa-China (People's Republic of)-Monthly","Composite Leading Indicators (MEI)-OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa-Korea-Monthly","Composite Leading Indicators (MEI)-OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa-OECD - Total-Monthly","Composite Leading Indicators (MEI)-OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa-United States-Monthly","Merchandise world trade, fixed base 2010=100-World-Prices / unit values in usd-trade-2010=100-Monthly","Merchandise world trade, fixed base 2010=100-World-Volumes, seasonally adjusted-trade-2010=100-Monthly","Industrial production volume excluding construction, fixed base 2010=100-World-Production weighted, seasonally adjusted-2010=100-Monthly",Baltic Freight Indexes-Baltic Exchange Dry Index (Jan-04-85=1000),BIS_EER-Monthly-Nominal-Narrow (27 economies)-Korea,BIS_EER-Monthly-Real-Narrow (27 economies)-Korea,"IFS-Units-Monthly-Korea, Republic of-Exchange Rates, Domestic Currency per U.S. Dollar, Period Average, Rate-Monthly",전국실적-월-전 산 업-매출실적2),전국실적-월-전 산 업-업황실적1),전국실적-월-전 산 업-인력사정실적3),전국실적-월-전 산 업-자금사정실적6),전국실적-월-전 산 업-채산성실적6),전국실적-월-제 조 업-가동률실적4),전국실적-월-제 조 업-수출실적2),전국실적-월-제 조 업-설비투자실적5),전국실적-월-제 조 업-내수판매실적2),전국실적-월-제 조 업-매출실적2),전국실적-월-제 조 업-신규수주실적2),전국실적-월-제 조 업-업황실적(S.A),전국전망-월-전 산 업-매출전망2),전국전망-월-전 산 업-업황전망1),"전산업생산지수(계절조정지수) (월,분기 2000.01~2021.01)-월-계절조정지수-전산업생산지수(농림어업 제외)-2015＝100","전산업생산지수(계절조정지수) (월,분기 2000.01~2021.01)-월-계절조정지수-서비스업-2015＝100","전산업생산지수(계절조정지수) (월,분기 2000.01~2021.01)-월-계절조정지수-광공업-2015＝100","전산업생산지수(계절조정지수) (월,분기 2000.01~2021.01)-월-계절조정지수-공공행정-2015＝100","전산업생산지수(계절조정지수) (월,분기 2000.01~2021.01)-월-계절조정지수-건설업-2015＝100",경기종합지수(2015＝100) (10차) (월 1970.01~2021.01)-월-경기종합지수-동행지수 순환변동치,경기종합지수(2015＝100) (10차) (월 1970.01~2021.01)-월-경기종합지수-선행지수 순환변동치,부문별 주택건설 인허가실적-전국-계-호-월,건축허가현황-총계-㎡-월,건축착공현황-총계-㎡-월,"고용센터 구인, 구직 및 취업현황-구인-명-월","고용센터 구인, 구직 및 취업현황-구인배수-%-월","고용센터 구인, 구직 및 취업현황-구직-명-월","고용센터 구인, 구직 및 취업현황-취업률-%-월","고용센터 구인, 구직 및 취업현황-취업자수-명-월","성별 경제활동인구 총괄 (월,분기,년 1999.06~2021.01)-월-고용률-계-%","성별 경제활동인구 총괄 (월,분기,년 1999.06~2021.01)-월-실업률-계-%","성별 경제활동인구 총괄 (월,분기,년 1999.06~2021.01)-월-실업자-계-천명","계절조정 경제활동인구 총괄 (월,분기 1999.06~2021.01)-월-고용률-계-%","계절조정 경제활동인구 총괄 (월,분기 1999.06~2021.01)-월-실업률-계-%","계절조정 경제활동인구 총괄 (월,분기 1999.06~2021.01)-월-실업자-계-천명",시군구별 용도업종별 전력사용량-전국-전체-가정용-kWh-월,시군구별 용도업종별 전력사용량-전국-전체-서비스업-kWh-월,시군구별 용도업종별 전력사용량-전국-전체-제조업-kWh-월,시군구별 용도업종별 전력사용량-전국-전체-합계-kWh-월,지역별 유류소비량-전국-천bbl-월,자동차 생산판매통계-내수-계-계-계-대-월,자동차 생산판매통계-생산-계-계-계-대-월,자동차 생산판매통계-수출-계-계-계-대-월,통화 및 유동성지표-월-계절조정Lf-말잔,통화 및 유동성지표-월-계절조정Lf-평잔,통화 및 유동성지표-월-계절조정M1-말잔,통화 및 유동성지표-월-계절조정M1-평잔,통화 및 유동성지표-월-계절조정M2-말잔,통화 및 유동성지표-월-계절조정M2-평잔,예금은행 종별예금(평잔)-월-총예금,예금은행 자금별 대출금(말잔)-월-총대출금,비은행기관 수신(평잔)-월-비은행금융기관(평잔) 1),비은행기관 여신(말잔)-월-비은행금융기관(말잔) 1),시장금리-월-국고채(10년),시장금리-월-국고채(1년),시장금리-월-국고채(3년),시장금리-월-국고채(5년),시장금리-월-무담보콜금리(1일),시장금리-월-통안증권(1년),시장금리-월-통안증권(2년),"시장금리-월-회사채(장외3년,AA- 등급)","시도/산업별 광공업생산지수(2015＝100) (월,분기,년 1975.01~2021.01)-월-생산자제품 재고지수(계절조정)-전국-광업 및 제조업-2015＝100","시도/산업별 광공업생산지수(2015＝100) (월,분기,년 1975.01~2021.01)-월-생산자제품 재고지수(계절조정)-전국-총지수-2015＝100","시도/산업별 광공업생산지수(2015＝100) (월,분기,년 1975.01~2021.01)-월-생산자제품 출하지수(계절조정)-전국-광업 및 제조업-2015＝100","시도/산업별 광공업생산지수(2015＝100) (월,분기,년 1975.01~2021.01)-월-생산지수(계절조정)-전국-광업 및 제조업-2015＝100","시도/산업별 광공업생산지수(2015＝100) (월,분기,년 1975.01~2021.01)-월-생산자제품 출하지수(계절조정)-전국-총지수-2015＝100","시도/산업별 광공업생산지수(2015＝100) (월,분기,년 1975.01~2021.01)-월-생산지수(계절조정)-전국-총지수-2015＝100","시도 재별 제조업생산지수(2015＝100) (월,분기,년 1985.01~2021.01)-월-생산자제품 출하지수(계절조정)-전국-소비재-2015＝100","시도 재별 제조업생산지수(2015＝100) (월,분기,년 1985.01~2021.01)-월-생산자제품 출하지수(계절조정)-전국-자본재-2015＝100","시도 재별 제조업생산지수(2015＝100) (월,분기,년 1985.01~2021.01)-월-생산자제품 출하지수(계절조정)-전국-중간재-2015＝100","시도 재별 제조업생산지수(2015＝100) (월,분기,년 1985.01~2021.01)-월-생산자제품 재고지수(계절조정)-전국-소비재-2015＝100","시도 재별 제조업생산지수(2015＝100) (월,분기,년 1985.01~2021.01)-월-생산자제품 재고지수(계절조정)-전국-자본재-2015＝100","시도 재별 제조업생산지수(2015＝100) (월,분기,년 1985.01~2021.01)-월-생산자제품 재고지수(계절조정)-전국-중간재-2015＝100","공종별 건설기성액(불변_계절조정) (월,분기 1997.07~2021.01)-월-기성액-계-백만원","수요자별 기계수주(불변금액, 계절조정) (월,분기 1996.06~2021.01)-월-선박제외-국내수요-백만원","전산업생산지수(계절조정지수) (월,분기 2000.01~2021.01)-월-계절조정지수-전산업생산지수(농림어업 제외)-2015＝100",소비자동향조사(전국) (월 2008.07~2021.02)-월-소비자동향-소비자심리지수-전체,소비자동향조사(전국) (월 2008.07~2021.02)-월-소비자동향-향후경기전망CSI-전체,소비자동향조사(전국) (월 2008.07~2021.02)-월-소비자동향-현재경기판단CSI-전체,"설비투자지수 (월,분기,년 1995.02~2021.01)-월-계절조정지수-총지수-2015＝100",분기지표-건설투자-분기,"분기지표-국내총생산(GDP)(실질, 계절조정, 전기비)-분기","분기지표-국내총생산(GDP)(실질, 계절조정, 전기비)-분기","분기지표-국내총생산에 대한 지출(실질, 계절조정, 전기비)-분기",분기지표-민간소비-분기,분기지표-설비투자-분기,분기지표-재화수입-분기,분기지표-재화수출-분기,Nikkei South Korea Manufacturing PMI SA,South Korea Exports,South Korea Imports,부도업체수-전국-개인-개-월,부도업체수-전국-법인-개-월,고속도로 권역별 이용차량-전국-합계-대-월,"제조업 생산능력 및 가동률지수(2015＝100) (월,분기,년 1971.01~2021.01)-월-가동률지수(계절조정)-제조업-2015＝100"
Series ID,KAB-HOUSEPRICE-0-S-A1000-IX-M,KOSIS-101_DT_1DA7010S-M-T30-00-14STD06156,BBG-BBG-MPMIGLMA_Index,KAB-HOUSEPRICE-0-D-A1000-IX-M,BBG-BBG-MPMIEMMA_Index,KOSIS-101_DT_1J17001-M-T-T10-0-14691_BSM00033,BBG-BBG-MPMIEMCA_Index,KOSIS-101_DT_1J17007-M-T10-QB-14691_BSM00033,KOSIS-101_DT_1J17009-M-T10-DB-14691_BSM00033,ECOS-013U202-MM-*AA,KRX-KOSPI_INDEX-KOSPI01-LAST_VOL-KRW-M,KRX-KOSDAQ_INDEX-KOSDAQ01-LAST_VOL-KRW-M,ECOS-018U301-MM-*AA-D,ECOS-018U301-MM-*AA-W,ECOS-085U021-MM-P63A,ECOS-085U022-MM-P64A,IMF-PCPS-M-W00-POILDUB-IX,IMF-PCPS-M-W00-POILDUB-USD,IMF-PCPS-M-W00-PEXGMETA-IX,IMF-PCPS-M-W00-PAGRI-IX,IMF-PCPS-M-W00-PGOLD-IX,IMF-PCPS-M-W00-PGOLD-USD,ECOS-024U003-MM-TO99999,ECOS-024U006-MM-TO99999,ECOS-023U001-MM-FIEE,ECOS-023U002-MM-FIEF,ECOS-022U113-MM-SA000,OECD-MEI_CLI-LOLITOAA-CHN-M,OECD-MEI_CLI-LOLITOAA-KOR-M,OECD-MEI_CLI-LOLITOAA-OECD-M,OECD-MEI_CLI-LOLITOAA-USA-M,OECD-MEI_CLI-BSCICP03-CHN-M,OECD-MEI_CLI-BSCICP03-KOR-M,OECD-MEI_CLI-BSCICP03-OECD-M,OECD-MEI_CLI-BSCICP03-USA-M,OECD-MEI_CLI-CSCICP03-CHN-M,OECD-MEI_CLI-CSCICP03-KOR-M,OECD-MEI_CLI-CSCICP03-OECD-M,OECD-MEI_CLI-CSCICP03-USA-M,CPB-TRADE_OUT-W1-PDMI_SN-TGZ-2010=100-M,CPB-TRADE_OUT-W1-QNMI_SN-TGZ-2010=100-M,CPB-INPRO_OUT-W1-QNMI_SP-2010=100-M,HAVER-baltic-bdim,BIS-BIS_EER-M-N-N-KR,BIS-BIS_EER-M-R-N-KR,IMF-IFS-M-KR-ENDA_XDC_USD_RATE,ECOS-041U013-MM-99988-AB,ECOS-041U013-MM-99988-AA,ECOS-041U013-MM-99988-AJ,ECOS-041U013-MM-99988-AO,ECOS-041U013-MM-99988-AE,ECOS-041U013-MM-C0000-AK,ECOS-041U013-MM-C0000-AM,ECOS-041U013-MM-C0000-AI,ECOS-041U013-MM-C0000-AL,ECOS-041U013-MM-C0000-AB,ECOS-041U013-MM-C0000-AD,ECOS-041U013-MM-C0000-AS,ECOS-041U014-MM-99988-BB,ECOS-041U014-MM-99988-BA,KOSIS-101_DT_1JH20152-M-T1-1-14691_BSM00033,KOSIS-101_DT_1JH20152-M-T1-1C-14691_BSM00033,KOSIS-101_DT_1JH20152-M-T1-1B-14691_BSM00033,KOSIS-101_DT_1JH20152-M-T1-1E-14691_BSM00033,KOSIS-101_DT_1JH20152-M-T1-1D-14691_BSM00033,KOSIS-101_DT_1C8013-M-T1-B03,KOSIS-101_DT_1C8013-M-T1-A03,MOLIT-HOUSE_PERMIT-KR_00-T1-UT-M,ENARA-PERMIT-TOT-MS-M,ENARA-CONSTR-TOT-MS-M,ENARA-JOBSEEK-T01-PS-M,ENARA-JOBSEEK-T03-%-M,ENARA-JOBSEEK-T02-PS-M,ENARA-JOBSEEK-T05-%-M,ENARA-JOBSEEK-T04-PS-M,KOSIS-101_DT_1DA7001S-M-T90-0-14STD00018,KOSIS-101_DT_1DA7001S-M-T80-0-14STD00018,KOSIS-101_DT_1DA7001S-M-T40-0-14STD06156,KOSIS-101_DT_1DA9001S-M-T90-00-14STD00018,KOSIS-101_DT_1DA9001S-M-T80-00-14STD00018,KOSIS-101_DT_1DA9001S-M-T40-00-14STD06156,KEPCO-POWER_PROP-KR_00-KR_0000-G01-kWh-M,KEPCO-POWER_PROP-KR_00-KR_0000-G03-kWh-M,KEPCO-POWER_PROP-KR_00-KR_0000-G06-kWh-M,KEPCO-POWER_PROP-KR_00-KR_0000-TOT-kWh-M,PETRO-OIL_USE-KR_00-BBL-M,KAMA-AUTOSALES-DOMESTIC-TOT-TOT-TOT-UT-M,KAMA-AUTOSALES-MANU-TOT-TOT-TOT-UT-M,KAMA-AUTOSALES-OVERSEA-TOT-TOT-TOT-UT-M,ECOS-010U101-MM-1130000-E000,ECOS-010U101-MM-1130000-A000,ECOS-010U101-MM-1110000-E000,ECOS-010U101-MM-1110000-A000,ECOS-010U101-MM-1120000-E000,ECOS-010U101-MM-1120000-A000,ECOS-001U048-MM-1000000,ECOS-001U053-MM-1000000,ECOS-075U006-MM-1000000,ECOS-075U008-MM-1000000,ECOS-028U001-MM-5050000,ECOS-028U001-MM-5030000,ECOS-028U001-MM-5020000,ECOS-028U001-MM-5040000,ECOS-028U001-MM-1010000,ECOS-028U001-MM-6010100,ECOS-028U001-MM-6010200,ECOS-028U001-MM-7020000,KOSIS-101_DT_1F01501-M-T22-00-A-14691_BSM00033,KOSIS-101_DT_1F01501-M-T22-00-0-14691_BSM00033,KOSIS-101_DT_1F01501-M-T21-00-A-14691_BSM00033,KOSIS-101_DT_1F01501-M-T20-00-A-14691_BSM00033,KOSIS-101_DT_1F01501-M-T21-00-0-14691_BSM00033,KOSIS-101_DT_1F01501-M-T20-00-0-14691_BSM00033,KOSIS-101_DT_1F01503-M-T21-00-3-14691_BSM00033,KOSIS-101_DT_1F01503-M-T21-00-1-14691_BSM00033,KOSIS-101_DT_1F01503-M-T21-00-2-14691_BSM00033,KOSIS-101_DT_1F01503-M-T22-00-3-14691_BSM00033,KOSIS-101_DT_1F01503-M-T22-00-1-14691_BSM00033,KOSIS-101_DT_1F01503-M-T22-00-2-14691_BSM00033,KOSIS-101_DT_1G18012-M-T1-0-14STD05057,KOSIS-101_DT_1F48006-M-T10-1-14STD05057,KOSIS-101_DT_1JH20152-M-T1-1-14691_BSM00033,KOSIS-301_DT_040Y002-M-13103112548999-13102112548CSI_CODE_FME-13102112548CSI_PART_99988,KOSIS-301_DT_040Y002-M-13103112548999-13102112548CSI_CODE_FMBB-13102112548CSI_PART_99988,KOSIS-301_DT_040Y002-M-13103112548999-13102112548CSI_CODE_FMAB-13102112548CSI_PART_99988,KOSIS-101_DT_1F70011-M-T5-C-14691_BSM00033,ECOS-111U055-10124-QQ,ECOS-111U055-10111-QQ,ECOS-111U055-10111-QQ,ECOS-111U055-10121-QQ,ECOS-111U055-10122-QQ,ECOS-111U055-10123-QQ,ECOS-111U055-10126-QQ,ECOS-111U055-10125-QQ,BBG-BBG-MPMIKRMA_Index,BBG-BBG-KOEXTOT_Index,BBG-BBG-KOIMTOT_Index,KFTC-BANKRUPT-KR_00-PS-EA-M,KFTC-BANKRUPT-KR_00-CO-EA-M,EX-REGION_TRAFFIC-900-TOT-UT-M,KOSIS-101_DT_1F31501-M-T30-C-14691_BSM00033
Preprocess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108017485,
2021-02-28,,,53.9,,51.5,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,44809.5,42193.344,,,,
2021-02-01,108.1,,,102.8,,107,,106.75,106.35,,3012.95,913.94,107.26,105.53,111.375,107.73,146.39070637,60.366,193.73018849,116.88753593,144.84631058,1808.175,,,,,,101.4586,101.7867,99.79997,99.77663,,99.489,100.0117,100.8002,,99.42622,98.71234,98.67571,,,,,,,1111.81176471,81,76,87,84,85,93,93,93,92,91,90,83,78,75,,,,,,,,,,,124791,0.46,273871,24.9,68174,,,,,,,,,,,,0,0,0,,,,,,,,,,,1.845,0.671,0.995,1.348,0.49,0.684,0.865,2.055,,,,,,,,,,,,,,,,97.4,90,63,,,,,,,,,,,,,,,224912159,
2021-01-31,,,53.6,,52.1,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,48018.512,44254.738,,,,
2021-01-01,107.1,25818.1,,102.1,,106.47,,106.66,106.27,104.88,2976.21,928.73,104.65,101.64,109.878,106.925,130.87660758,53.96857143,189.5954301,113.77686123,149.55736539,1866.985,,,48018512,44254739,10276.2,101.3319,101.5478,99.66079,99.55576,99.55003,99.20583,100.0313,101.1983,,99.20876,98.65263,98.89713,,,,1658,,,1097.46842105,78,77,86,83,81,91,87,93,88,90,88,84,73,70,109.2,107,110.5,120.4,108.443,99.5,102.7,26183,9596182,7640798,133554,0.29,458043,15.3,70222,57.4,5.7,1569.9,58.9,5.4,1519.3,,,,,75813,116550,314190,192073,,,,,,,,,,,1.731,0.695,0.975,1.316,0.49,0.69,0.883,2.143,110.9,110.9,106.5,110.4,106.9,110.5,95.3,94.4,112,118.5,121.5,106.5,9284429,2092291,109.2,95.4,89,56,124.7,,,,,,,,,,,,5,14,219745346,98.3
2020-12-31,,,53.8,,52.8,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,51409.91,44637.613,,,,
2020-12-01,106.3,26525.6,,101.4,,105.67,,106.31,105.89,103.9,2873.47,968.42,101.14,98.02,108.586,106.043,119.59514384,49.31652174,180.23094387,107.85165333,148.67381336,1855.95526316,,,51409911,44637611,13355.4,101.0547,101.2724,99.5267,99.34843,99.75248,98.95776,100.009,101.4056,104.4664,99.05407,98.60497,99.02783,102.84297951,125.22255381,128.61588033,1244,,,1095.13,74,75,90,81,81,84,79,89,81,81,84,80,75,76,109.9,107.2,112.3,114.8,115.4196,99.7,102.4,96803,15440575,13063740,130966,0.37,355454,18.7,66581,59.1,4.1,1135.4,59.6,4.5,1257,,,,,75915,133375,296906,174756,4459390,4461351.7,1178748.6,1159048.5,3195887.3,3191334.2,1671626.5,1893716.2,2904523.9,1016010.2,1.675,0.719,0.97,1.323,0.51,0.727,0.892,2.211,111.8,111.8,107.4,112.3,107.7,112.3,88.4,97.2,117.4,119.3,124.1,107,9881733,2939604,109.9,91.2,81,56,117.4,,,,,,,,,,,,3,24,237599288,99.8
2020-11-30,,,53.8,,53.9,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,45840.977,39937.254,,,,
2020-11-01,105.3,27241.3,,100.4,,105.5,,106.28,105.9,103.09,2591.34,886.11,97.19,96.05,107.125,104.886,103.25295246,42.57761905,160.37487351,107.04843471,149.27762255,1863.49285714,,,45839703,39935508,8412.2,100.753,100.9713,99.34653,99.08379,99.79813,98.76093,99.86267,101.3263,104.3844,98.99953,98.52407,99.04055,100.56956443,124.48424023,126.93560498,1180,112.97,116.42,1116.76,76,78,91,83,85,88,80,91,83,83,83,83,73,72,109.5,108.4,109.3,111.4,118.2238,99.5,102,34474,12566233,12431860,125697,0.51,245001,27.1,66511,60.7,3.4,966.7,60.1,4.2,1170.2,5821684885,10813826159,20868397170,41147087280,71275,143884,324476,187882,4462726.2,4439482.7,1169039.3,1147988.9,3197997.4,3178375.4,1656020,1893044.7,2902754.7,1025307.1,1.61,0.7,0.965,1.295,0.49,0.715,0.871,2.247,111.8,111.8,103.7,109.4,104.1,109.3,91.2,95.3,111.1,119.1,124.9,107.5,10121818,2056735,109.5,99,91,72,115.2,,,,,,,,,,,,5,16,257034631,98.6
2020-10-31,,,53.1,,53.4,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,44882.793,39079.871,,,,
2020-10-01,104.8,27088.4,,99.8,,105.61,,105.69,105.22,103.01,2267.15,792.65,94.83,96.06,105.611,103.151,96.28449647,39.70409091,153.95574363,103.81558069,152.22410598,1900.275,,,44877320,39085895,10869,100.4392,100.6344,99.16942,98.79733,99.64752,98.44833,99.72839,101.178,103.9611,98.56985,98.52692,99.0689,99.53159366,122.46476363,125.40334738,1631,110.72,114.27,1144.68,73,74,89,81,83,86,78,90,81,78,82,77,65,65,108.5,107.5,108.8,110.8,113.5479,99,101.4,33257,12131794,9320325,120276,0.42,284991,21.3,60737,60.4,3.7,1028.1,59.8,4.2,1174.4,5598894096,10257241620,20234495518,39065311554,70035,135809,336283,194893,4414975.5,4403245.9,1140940.9,1135223.4,3161715.7,3150503.4,1644950.6,1873103.1,2854772.1,1003780.3,1.507,0.68,0.91,1.196,0.51,0.698,0.834,2.239,113.2,113.2,104.7,108.8,104.9,108.8,93.7,94.9,110.1,120.6,125.3,108.8,9721487,2564043,108.5,92.9,83,58,112.2,6.5,1.2,1.2,1.2,-1.5,-2,2.1,5.1,,,,9,28,260821823,98.8
2020-09-30,,,52.4,,52.8,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,47866,39346,,,,
2020-09-01,104.4,27011.7,,99.3,,106.2,,106.18,105.91,103.42,2327.89,848.15,94.15,98.23,104.909,102.306,99.67736508,41.10318182,155.33911687,99.10250571,153.9815302,1922.21363636,,,47857785,39391098,5354.4,100.1348,100.2706,98.96683,98.45818,99.49174,97.97909,99.4215,100.8621,103.2831,98.02379,98.44437,98.88483,98.91665061,121.94517457,124.37176448,1411,107.75,111.94,1178.8,63,64,91,76,78,73,66,87,67,66,74,68,67,69,108.4,106.6,109.4,113,114.3542,98.5,101,35686,14158127,10904098,109750,0.4,271245,24.3,66022,60.3,3.6,1000,59.8,4,1120.7,7643033800,12302400468,21512371587,45110791953,71824,138828,342494,191374,4382207.2,4367280.3,1136215.9,1118121.6,3131821.3,3115757.4,1631333.2,1852162.6,2835414,987219.7,1.5,0.705,0.908,1.194,0.48,0.689,0.836,2.239,113.9,113.9,104.8,109.5,105,109.4,93.7,93.2,111.3,120.3,123.4,110.6,9790520,2628020,108.4,81.4,66,42,118.1,,,,,,,,,,,,7,23,249121367,98.7
2020-08-31,,,51.8,,52.5,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,39572.344,35734.617,,,,
2020-08-01,104,27084.7,,98.8,,105.5,,106.08,106.2,103.22,2326.17,848.24,94.57,99.34,104.081,101.427,105.98748761,43.7052381,152.30984922,97.65757305,157.65178844,1968.03095238,,,39487034,35800897,6188.7,99.53237,99.89977,98.75966,98.2298,99.34702,97.48873,99.01913,100.5372,102.4567,97.85147,98.22538,98.52761,98.80333951,119.13691295,122.71637053,1516,106.93,110.55,1186.85,66,66,91,78,78,70,65,83,67,66,70,70,63,62,107.2,106.6,106.1,114.7,109.4086,98.1,100.6,28268,10116021,8672910,115148,0.47,246007,24.2,59530,60.4,3.1,864,60,3.3,923.7,7171231066,12782076317,20989608525,44599114120,72155,112142,233363,130477,4349167.5,4342722.3,1110243.9,1095206.6,3103778.8,3101602.2,1611233.5,1837915.6,2827587.9,979296.1,1.373,0.671,0.829,1.092,0.5,0.62,0.746,2.192,117.1,117.1,100,105.8,100.5,106.1,91,89.6,105,121.3,122.9,115.3,9367097,2180709,107.2,89.7,75,54,111.1,,,,,,,,,,,,3,14,254406114,95.1
2020-07-31,,,50.6,,51.4,,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,42802.719,38695.156,,,,
